geography,stateabbrev,state,id2,clinton,total,trump,trump_percent
"State House District 1 (2014), Alaska","AK",2,"2-001",2579,6420,3181,.4954829
"State House District 2 (2014), Alaska","AK",2,"2-002",1589,5321,3189,.5993235
"State House District 3 (2014), Alaska","AK",2,"2-003",1244,7397,5404,.7305664
"State House District 4 (2014), Alaska","AK",2,"2-004",4172,9188,4071,.4430779
"State House District 5 (2014), Alaska","AK",2,"2-005",3195,7660,3684,.48094
"State House District 6 (2014), Alaska","AK",2,"2-006",2542,8230,4930,.5990279
"State House District 8 (2014), Alaska","AK",2,"2-008",1221,7928,6128,.7729566
"State House District 9 (2014), Alaska","AK",2,"2-009",1847,8736,6101,.6983746
"State House District 10 (2014), Alaska","AK",2,"2-010",1812,8827,6257,.7088479
"State House District 11 (2014), Alaska","AK",2,"2-011",2147,9403,6446,.6855259
"State House District 13 (2014), Alaska","AK",2,"2-013",1688,6344,4029,.6350883
"State House District 15 (2014), Alaska","AK",2,"2-015",1832,4854,2526,.5203956
"State House District 16 (2014), Alaska","AK",2,"2-016",3302,7221,3204,.4437059
"State House District 17 (2014), Alaska","AK",2,"2-017",3298,6586,2619,.3976617
"State House District 18 (2014), Alaska","AK",2,"2-018",3918,7226,2685,.3715749
"State House District 19 (2014), Alaska","AK",2,"2-019",2675,4708,1636,.3474936
"State House District 20 (2014), Alaska","AK",2,"2-020",4161,6950,2188,.3148201
"State House District 21 (2014), Alaska","AK",2,"2-021",4234,8446,3480,.4120294
"State House District 22 (2014), Alaska","AK",2,"2-022",3278,8136,4204,.5167158
"State House District 23 (2014), Alaska","AK",2,"2-023",2901,6780,3247,.4789086
"State House District 24 (2014), Alaska","AK",2,"2-024",3586,9067,4710,.5194662
"State House District 25 (2014), Alaska","AK",2,"2-025",3386,7943,3817,.4805489
"State House District 27 (2014), Alaska","AK",2,"2-027",3738,8556,4086,.4775596
"State House District 28 (2014), Alaska","AK",2,"2-028",4760,11114,5424,.4880331
"State House District 32 (2014), Alaska","AK",2,"2-032",2707,7291,3765,.5163901
"State House District 33 (2014), Alaska","AK",2,"2-033",5992,9675,2733,.2824806
"State House District 34 (2014), Alaska","AK",2,"2-034",4230,9170,3956,.4314068
"State House District 35 (2014), Alaska","AK",2,"2-035",3758,8803,4106,.4664319
"State House District 36 (2014), Alaska","AK",2,"2-036",2699,8066,4461,.5530623
"State House District 37 (2014), Alaska","AK",2,"2-037",2427,4912,1938,.394544
"State House District 38 (2014), Alaska","AK",2,"2-038",2765,4790,1143,.2386221
"State House District 39 (2014), Alaska","AK",2,"2-039",3149,5273,1405,.2664517
"State House District 40 (2014), Alaska","AK",2,"2-040",2344,4334,1377,.3177204
"State House District 1 (2014), Arizona","AZ",4,"4-001",33442,117154,78335,.6686498
"State House District 2 (2014), Arizona","AZ",4,"4-002",41010,69097,24965,.3613037
"State House District 3 (2014), Arizona","AZ",4,"4-003",44715,63663,15543,.2441449
"State House District 4 (2014), Arizona","AZ",4,"4-004",32028,56351,21521,.3819098
"State House District 5 (2014), Arizona","AZ",4,"4-005",18808,84679,62222,.7347985
"State House District 6 (2014), Arizona","AZ",4,"4-006",42179,101185,52696,.5207887
"State House District 7 (2014), Arizona","AZ",4,"4-007",42239,70645,24100,.3411423
"State House District 8 (2014), Arizona","AZ",4,"4-008",24939,62039,33862,.545818
"State House District 9 (2014), Arizona","AZ",4,"4-009",56889,100253,37956,.3786021
"State House District 10 (2014), Arizona","AZ",4,"4-010",51745,97804,40651,.4156374
"State House District 11 (2014), Arizona","AZ",4,"4-011",41718,102787,56007,.5448841
"State House District 12 (2014), Arizona","AZ",4,"4-012",38962,111940,66391,.5930945
"State House District 13 (2014), Arizona","AZ",4,"4-013",29389,86092,52600,.6109743
"State House District 14 (2014), Arizona","AZ",4,"4-014",29330,87242,52227,.5986452
"State House District 15 (2014), Arizona","AZ",4,"4-015",41360,105903,58948,.5566226
"State House District 16 (2014), Arizona","AZ",4,"4-016",29683,90102,55241,.613094
"State House District 17 (2014), Arizona","AZ",4,"4-017",45784,101605,49942,.4915309
"State House District 18 (2014), Arizona","AZ",4,"4-018",56517,108892,45204,.4151269
"State House District 19 (2014), Arizona","AZ",4,"4-019",34494,51162,13902,.2717251
"State House District 20 (2014), Arizona","AZ",4,"4-020",35917,84116,42658,.507133
"State House District 21 (2014), Arizona","AZ",4,"4-021",35376,88939,48880,.5495902
"State House District 22 (2014), Arizona","AZ",4,"4-022",39485,117100,72752,.621281
"State House District 23 (2014), Arizona","AZ",4,"4-023",52123,126429,68985,.5456422
"State House District 24 (2014), Arizona","AZ",4,"4-024",48111,73005,20189,.2765427
"State House District 25 (2014), Arizona","AZ",4,"4-025",32546,92746,54427,.5868393
"State House District 26 (2014), Arizona","AZ",4,"4-026",34124,57432,18325,.319073
"State House District 27 (2014), Arizona","AZ",4,"4-027",40514,54714,11273,.206035
"State House District 28 (2014), Arizona","AZ",4,"4-028",50540,101273,45168,.4460024
"State House District 29 (2014), Arizona","AZ",4,"4-029",29558,45449,13330,.2932958
"State House District 30 (2014), Arizona","AZ",4,"4-030",27642,44442,14101,.3172899
"Assembly District 1 (2014), California","CA",6,"6-001",78448,217358,123348,.5674877
"Assembly District 2 (2014), California","CA",6,"6-002",129765,208630,60457,.2897809
"Assembly District 3 (2014), California","CA",6,"6-003",70105,177623,94699,.533146
"Assembly District 4 (2014), California","CA",6,"6-004",123163,195392,58516,.29948
"Assembly District 5 (2014), California","CA",6,"6-005",74313,192958,105839,.548508
"Assembly District 6 (2014), California","CA",6,"6-006",98850,240087,124903,.5202406
"Assembly District 7 (2014), California","CA",6,"6-007",113064,167178,42943,.2568699
"Assembly District 8 (2014), California","CA",6,"6-008",97714,188757,77439,.4102576
"Assembly District 9 (2014), California","CA",6,"6-009",106100,172610,56775,.3289207
"Assembly District 10 (2014), California","CA",6,"6-010",179560,237347,42629,.1796062
"Assembly District 11 (2014), California","CA",6,"6-011",106659,181203,63724,.3516719
"Assembly District 12 (2014), California","CA",6,"6-012",74393,172569,88102,.510532
"Assembly District 13 (2014), California","CA",6,"6-013",85954,136500,43398,.3179341
"Assembly District 14 (2014), California","CA",6,"6-014",136210,195833,47918,.2446881
"Assembly District 15 (2014), California","CA",6,"6-015",200652,229603,16156,.0703649
"Assembly District 16 (2014), California","CA",6,"6-016",155538,241257,70523,.2923148
"Assembly District 17 (2014), California","CA",6,"6-017",205037,232678,16172,.0695038
"Assembly District 18 (2014), California","CA",6,"6-018",168004,195607,16503,.0843681
"Assembly District 19 (2014), California","CA",6,"6-019",174463,213730,28501,.1333505
"Assembly District 20 (2014), California","CA",6,"6-020",125695,166438,31825,.1912123
"Assembly District 21 (2014), California","CA",6,"6-021",69630,127464,50303,.3946448
"Assembly District 22 (2014), California","CA",6,"6-022",160498,213529,42176,.1975188
"Assembly District 23 (2014), California","CA",6,"6-023",80259,182605,92731,.5078229
"Assembly District 24 (2014), California","CA",6,"6-024",156218,199801,31835,.1593335
"Assembly District 25 (2014), California","CA",6,"6-025",118083,160427,33533,.2090234
"Assembly District 26 (2014), California","CA",6,"6-026",51358,123630,65435,.5292809
"Assembly District 27 (2014), California","CA",6,"6-027",113260,145659,25189,.1729313
"Assembly District 28 (2014), California","CA",6,"6-028",148579,210359,48553,.2308102
"Assembly District 29 (2014), California","CA",6,"6-029",157501,225011,51660,.2295888
"Assembly District 30 (2014), California","CA",6,"6-030",95014,142453,38914,.2731708
"Assembly District 31 (2014), California","CA",6,"6-031",62113,99979,32920,.3292691
"Assembly District 32 (2014), California","CA",6,"6-032",47156,83458,31696,.3797838
"Assembly District 33 (2014), California","CA",6,"6-033",59581,148883,81306,.5461067
"Assembly District 34 (2014), California","CA",6,"6-034",59080,173390,104394,.6020762
"Assembly District 35 (2014), California","CA",6,"6-035",95942,193550,84067,.4343425
"Assembly District 36 (2014), California","CA",6,"6-036",76812,153805,67458,.4385943
"Assembly District 37 (2014), California","CA",6,"6-037",141108,219560,64125,.2920614
"Assembly District 38 (2014), California","CA",6,"6-038",102575,206641,91733,.4439245
"Assembly District 39 (2014), California","CA",6,"6-039",105717,141644,28039,.197954
"Assembly District 40 (2014), California","CA",6,"6-040",85358,157829,63146,.4000912
"Assembly District 41 (2014), California","CA",6,"6-041",134013,213339,66718,.3127323
"Assembly District 42 (2014), California","CA",6,"6-042",81326,178325,88624,.4969802
"Assembly District 43 (2014), California","CA",6,"6-043",128801,186829,47555,.2545376
"Assembly District 44 (2014), California","CA",6,"6-044",107071,187439,69329,.369875
"Assembly District 45 (2014), California","CA",6,"6-045",124853,185362,50768,.2738857
"Assembly District 46 (2014), California","CA",6,"6-046",125101,164170,30346,.184845
"Assembly District 47 (2014), California","CA",6,"6-047",87195,124385,30842,.2479559
"Assembly District 48 (2014), California","CA",6,"6-048",96892,147695,42089,.2849724
"Assembly District 49 (2014), California","CA",6,"6-049",87649,129708,35237,.2716641
"Assembly District 50 (2014), California","CA",6,"6-050",181050,235983,43262,.1833268
"Assembly District 51 (2014), California","CA",6,"6-051",121295,144315,14707,.101909
"Assembly District 52 (2014), California","CA",6,"6-052",84559,128539,36904,.2871035
"Assembly District 53 (2014), California","CA",6,"6-053",87768,103458,9961,.0962806
"Assembly District 54 (2014), California","CA",6,"6-054",172363,202431,20480,.1011703
"Assembly District 55 (2014), California","CA",6,"6-055",91567,183417,81831,.4461473
"Assembly District 56 (2014), California","CA",6,"6-056",79482,123782,38674,.3124364
"Assembly District 57 (2014), California","CA",6,"6-057",105951,160723,45625,.2838735
"Assembly District 58 (2014), California","CA",6,"6-058",110922,152908,34043,.2226371
"Assembly District 59 (2014), California","CA",6,"6-059",92086,101526,5172,.0509426
"Assembly District 60 (2014), California","CA",6,"6-060",77160,147025,61711,.4197313
"Assembly District 61 (2014), California","CA",6,"6-061",89375,143065,45235,.3161849
"Assembly District 62 (2014), California","CA",6,"6-062",145289,177069,23125,.1305988
"Assembly District 63 (2014), California","CA",6,"6-063",98320,127105,22089,.1737854
"Assembly District 64 (2014), California","CA",6,"6-064",112897,130950,12586,.096113
"Assembly District 65 (2014), California","CA",6,"6-065",87128,153596,57257,.3727766
"Assembly District 66 (2014), California","CA",6,"6-066",122987,205070,68907,.336017
"Assembly District 67 (2014), California","CA",6,"6-067",69995,179998,100696,.5594285
"Assembly District 68 (2014), California","CA",6,"6-068",99563,201461,89803,.4457587
"Assembly District 69 (2014), California","CA",6,"6-069",77611,107881,24089,.2232923
"Assembly District 70 (2014), California","CA",6,"6-070",119668,175638,44070,.2509138
"Assembly District 71 (2014), California","CA",6,"6-071",73868,193430,108823,.5625963
"Assembly District 72 (2014), California","CA",6,"6-072",92904,180757,77967,.431336
"Assembly District 73 (2014), California","CA",6,"6-073",99330,226316,114018,.5038
"Assembly District 74 (2014), California","CA",6,"6-074",110941,218781,94705,.4328758
"Assembly District 75 (2014), California","CA",6,"6-075",81719,189090,95829,.5067904
"Assembly District 76 (2014), California","CA",6,"6-076",104680,197103,79599,.4038447
"Assembly District 77 (2014), California","CA",6,"6-077",122393,221875,86389,.3893589
"Assembly District 78 (2014), California","CA",6,"6-078",151066,223859,57874,.2585288
"Assembly District 79 (2014), California","CA",6,"6-079",119355,185793,55814,.3004096
"Assembly District 80 (2014), California","CA",6,"6-080",106767,145961,31151,.21342
"State House District 1 (2014), Colorado","CO",8,"8-001",18855,31519,10175,.3228212
"State House District 2 (2014), Colorado","CO",8,"8-002",40149,53378,8711,.1631946
"State House District 3 (2014), Colorado","CO",8,"8-003",23438,43481,16157,.3715876
"State House District 4 (2014), Colorado","CO",8,"8-004",28301,36832,5745,.1559785
"State House District 5 (2014), Colorado","CO",8,"8-005",28307,37831,6420,.1697021
"State House District 6 (2014), Colorado","CO",8,"8-006",33306,47347,10992,.2321583
"State House District 7 (2014), Colorado","CO",8,"8-007",29099,36458,5339,.1464425
"State House District 8 (2014), Colorado","CO",8,"8-008",41198,49284,4710,.0955685
"State House District 9 (2014), Colorado","CO",8,"8-009",27989,43178,11590,.2684237
"State House District 10 (2014), Colorado","CO",8,"8-010",39206,48629,6063,.1246787
"State House District 11 (2014), Colorado","CO",8,"8-011",26168,44922,14823,.3299719
"State House District 12 (2014), Colorado","CO",8,"8-012",32626,49061,12519,.2551721
"State House District 13 (2014), Colorado","CO",8,"8-013",33849,50813,13206,.2598941
"State House District 14 (2014), Colorado","CO",8,"8-014",13298,46800,28556,.610171
"State House District 15 (2014), Colorado","CO",8,"8-015",12119,40085,23757,.5926656
"State House District 16 (2014), Colorado","CO",8,"8-016",13997,41186,22865,.5551644
"State House District 17 (2014), Colorado","CO",8,"8-017",11087,24064,10442,.4339262
"State House District 18 (2014), Colorado","CO",8,"8-018",21268,41897,16343,.3900757
"State House District 19 (2014), Colorado","CO",8,"8-019",11168,53174,37564,.7064355
"State House District 20 (2014), Colorado","CO",8,"8-020",15792,43704,23892,.5466776
"State House District 21 (2014), Colorado","CO",8,"8-021",9281,28057,15809,.5634601
"State House District 22 (2014), Colorado","CO",8,"8-022",20083,48476,24158,.4983497
"State House District 23 (2014), Colorado","CO",8,"8-023",24092,45139,16861,.3735351
"State House District 24 (2014), Colorado","CO",8,"8-024",24987,45535,16368,.3594598
"State House District 25 (2014), Colorado","CO",8,"8-025",24649,52955,23706,.4476631
"State House District 26 (2014), Colorado","CO",8,"8-026",21699,39209,14220,.3626718
"State House District 27 (2014), Colorado","CO",8,"8-027",23874,52381,23836,.4550505
"State House District 28 (2014), Colorado","CO",8,"8-028",22258,42089,16050,.3813348
"State House District 29 (2014), Colorado","CO",8,"8-029",20738,42123,17124,.4065238
"State House District 30 (2014), Colorado","CO",8,"8-030",16129,31635,12871,.4068595
"State House District 31 (2014), Colorado","CO",8,"8-031",17490,35353,14586,.4125817
"State House District 32 (2014), Colorado","CO",8,"8-032",15845,26632,8523,.3200285
"State House District 33 (2014), Colorado","CO",8,"8-033",28108,51297,18416,.3590074
"State House District 35 (2014), Colorado","CO",8,"8-035",20584,38754,14719,.379806
"State House District 36 (2014), Colorado","CO",8,"8-036",19714,36792,13830,.3758969
"State House District 37 (2014), Colorado","CO",8,"8-037",22093,45386,19333,.4259683
"State House District 38 (2014), Colorado","CO",8,"8-038",25010,53263,23351,.4384094
"State House District 39 (2014), Colorado","CO",8,"8-039",15791,50349,30725,.6102405
"State House District 40 (2014), Colorado","CO",8,"8-040",20764,39133,14630,.3738533
"State House District 41 (2014), Colorado","CO",8,"8-041",22449,36855,11580,.3142043
"State House District 42 (2014), Colorado","CO",8,"8-042",16360,24422,6182,.2531324
"State House District 43 (2014), Colorado","CO",8,"8-043",20135,47445,23177,.4885025
"State House District 44 (2014), Colorado","CO",8,"8-044",18544,49904,26789,.5368107
"State House District 45 (2014), Colorado","CO",8,"8-045",17790,54245,31627,.5830399
"State House District 46 (2014), Colorado","CO",8,"8-046",18932,41357,19046,.4605266
"State House District 47 (2014), Colorado","CO",8,"8-047",14670,38628,20931,.5418608
"State House District 48 (2014), Colorado","CO",8,"8-048",14524,47856,29282,.6118773
"State House District 49 (2014), Colorado","CO",8,"8-049",21968,60125,32955,.5481081
"State House District 50 (2014), Colorado","CO",8,"8-050",12847,28044,12259,.4371345
"State House District 51 (2014), Colorado","CO",8,"8-051",18333,49779,26622,.5348038
"State House District 52 (2014), Colorado","CO",8,"8-052",28478,51126,17425,.3408246
"State House District 53 (2014), Colorado","CO",8,"8-053",27841,47163,13956,.2959099
"State House District 54 (2014), Colorado","CO",8,"8-054",9342,41170,28859,.7009716
"State House District 55 (2014), Colorado","CO",8,"8-055",13491,41746,24738,.5925837
"State House District 56 (2014), Colorado","CO",8,"8-056",17793,48920,27389,.5598733
"State House District 57 (2014), Colorado","CO",8,"8-057",12581,36445,21228,.5824667
"State House District 59 (2014), Colorado","CO",8,"8-059",22242,47306,20566,.434744
"State House District 60 (2014), Colorado","CO",8,"8-060",13729,43296,26162,.6042591
"State House District 61 (2014), Colorado","CO",8,"8-061",24559,46423,18236,.3928225
"State House District 62 (2014), Colorado","CO",8,"8-062",17263,36136,15770,.4364069
"State House District 63 (2014), Colorado","CO",8,"8-063",15641,47315,27582,.5829441
"State House District 64 (2014), Colorado","CO",8,"8-064",8978,39418,27885,.7074179
"State House District 65 (2014), Colorado","CO",8,"8-065",7099,34973,25975,.7427158
"State House District 1 (2014), Connecticut","CT",9,"9-001",6076,6788,510,.0751326
"State House District 2 (2014), Connecticut","CT",9,"9-002",6129,12113,5416,.4471229
"State House District 3 (2014), Connecticut","CT",9,"9-003",4956,5474,409,.0747168
"State House District 4 (2014), Connecticut","CT",9,"9-004",4741,5384,498,.0924963
"State House District 5 (2014), Connecticut","CT",9,"9-005",8303,9803,1242,.1266959
"State House District 6 (2014), Connecticut","CT",9,"9-006",5693,6634,788,.118782
"State House District 7 (2014), Connecticut","CT",9,"9-007",6395,6768,253,.0373818
"State House District 8 (2014), Connecticut","CT",9,"9-008",6346,13645,6456,.4731404
"State House District 9 (2014), Connecticut","CT",9,"9-009",6592,10517,3467,.3296567
"State House District 10 (2014), Connecticut","CT",9,"9-010",6254,8962,2434,.2715912
"State House District 11 (2014), Connecticut","CT",9,"9-011",5383,7841,2132,.2719041
"State House District 12 (2014), Connecticut","CT",9,"9-012",6667,10854,3617,.3332412
"State House District 13 (2014), Connecticut","CT",9,"9-013",7065,11922,4220,.3539675
"State House District 14 (2014), Connecticut","CT",9,"9-014",7269,13058,5169,.3958493
"State House District 15 (2014), Connecticut","CT",9,"9-015",10642,13092,2096,.1600978
"State House District 16 (2014), Connecticut","CT",9,"9-016",7825,13941,5357,.3842622
"State House District 17 (2014), Connecticut","CT",9,"9-017",7115,13643,5864,.4298175
"State House District 19 (2014), Connecticut","CT",9,"9-019",9590,14487,4257,.2938496
"State House District 20 (2014), Connecticut","CT",9,"9-020",7472,10755,2830,.2631334
"State House District 22 (2014), Connecticut","CT",9,"9-022",5318,10797,5009,.4639252
"State House District 23 (2014), Connecticut","CT",9,"9-023",7433,14171,6166,.435114
"State House District 24 (2014), Connecticut","CT",9,"9-024",5586,8810,2895,.3286039
"State House District 25 (2014), Connecticut","CT",9,"9-025",4740,6013,1109,.1844337
"State House District 26 (2014), Connecticut","CT",9,"9-026",4574,7223,2348,.3250727
"State House District 27 (2014), Connecticut","CT",9,"9-027",6914,12647,5173,.4090298
"State House District 28 (2014), Connecticut","CT",9,"9-028",6941,13242,5720,.4319589
"State House District 29 (2014), Connecticut","CT",9,"9-029",6446,11950,4975,.416318
"State House District 30 (2014), Connecticut","CT",9,"9-030",5807,13718,7342,.5352092
"State House District 32 (2014), Connecticut","CT",9,"9-032",6302,12947,5977,.4616514
"State House District 33 (2014), Connecticut","CT",9,"9-033",6444,10320,3347,.3243217
"State House District 34 (2014), Connecticut","CT",9,"9-034",5869,12980,6458,.4975347
"State House District 35 (2014), Connecticut","CT",9,"9-035",6378,13411,6478,.4830363
"State House District 36 (2014), Connecticut","CT",9,"9-036",7209,13926,6034,.4332902
"State House District 38 (2014), Connecticut","CT",9,"9-038",6175,12818,5952,.464347
"State House District 39 (2014), Connecticut","CT",9,"9-039",4958,6621,1323,.1998188
"State House District 40 (2014), Connecticut","CT",9,"9-040",3990,7913,3340,.4220902
"State House District 41 (2014), Connecticut","CT",9,"9-041",6401,10693,3749,.3506032
"State House District 42 (2014), Connecticut","CT",9,"9-042",4586,10585,5358,.506188
"State House District 46 (2014), Connecticut","CT",9,"9-046",4291,7350,2615,.3557823
"State House District 47 (2014), Connecticut","CT",9,"9-047",4895,12654,6925,.5472578
"State House District 48 (2014), Connecticut","CT",9,"9-048",5996,12541,5764,.4596125
"State House District 49 (2014), Connecticut","CT",9,"9-049",5072,7946,2443,.3074503
"State House District 52 (2014), Connecticut","CT",9,"9-052",4411,11716,6694,.5713554
"State House District 53 (2014), Connecticut","CT",9,"9-053",6176,13010,5957,.4578786
"State House District 55 (2014), Connecticut","CT",9,"9-055",6595,13995,6648,.4750268
"State House District 56 (2014), Connecticut","CT",9,"9-056",5749,10723,4338,.404551
"State House District 60 (2014), Connecticut","CT",9,"9-060",6527,11997,4861,.4051846
"State House District 61 (2014), Connecticut","CT",9,"9-061",5561,11975,5752,.480334
"State House District 62 (2014), Connecticut","CT",9,"9-062",6022,14033,7171,.5110098
"State House District 63 (2014), Connecticut","CT",9,"9-063",4021,11196,6630,.5921758
"State House District 65 (2014), Connecticut","CT",9,"9-065",3400,8520,4674,.5485916
"State House District 66 (2014), Connecticut","CT",9,"9-066",5869,13915,7419,.5331656
"State House District 67 (2014), Connecticut","CT",9,"9-067",5102,11371,5744,.5051447
"State House District 68 (2014), Connecticut","CT",9,"9-068",3967,12487,8079,.6469929
"State House District 69 (2014), Connecticut","CT",9,"9-069",6777,14363,7023,.4889647
"State House District 70 (2014), Connecticut","CT",9,"9-070",3964,9997,5552,.5553666
"State House District 71 (2014), Connecticut","CT",9,"9-071",4266,10307,5662,.5493354
"State House District 72 (2014), Connecticut","CT",9,"9-072",4457,6258,1648,.2633429
"State House District 73 (2014), Connecticut","CT",9,"9-073",4641,8637,3723,.4310524
"State House District 74 (2014), Connecticut","CT",9,"9-074",4508,8144,3356,.4120825
"State House District 75 (2014), Connecticut","CT",9,"9-075",3662,4851,1078,.2222222
"State House District 76 (2014), Connecticut","CT",9,"9-076",4831,13525,8027,.5934935
"State House District 77 (2014), Connecticut","CT",9,"9-077",5341,11297,5464,.4836682
"State House District 78 (2014), Connecticut","CT",9,"9-078",4266,11501,6835,.5942962
"State House District 79 (2014), Connecticut","CT",9,"9-079",4776,9429,4220,.4475554
"State House District 80 (2014), Connecticut","CT",9,"9-080",4011,12668,8210,.6480896
"State House District 81 (2014), Connecticut","CT",9,"9-081",5277,12102,6258,.5171046
"State House District 82 (2014), Connecticut","CT",9,"9-082",5741,11127,4857,.4365058
"State House District 83 (2014), Connecticut","CT",9,"9-083",5349,11074,5290,.4776955
"State House District 84 (2014), Connecticut","CT",9,"9-084",4204,6144,1682,.273763
"State House District 85 (2014), Connecticut","CT",9,"9-085",5368,10847,4984,.4594819
"State House District 87 (2014), Connecticut","CT",9,"9-087",5837,13574,7268,.5354354
"State House District 90 (2014), Connecticut","CT",9,"9-090",5578,12418,6261,.5041875
"State House District 91 (2014), Connecticut","CT",9,"9-091",8597,12497,3500,.2800672
"State House District 92 (2014), Connecticut","CT",9,"9-092",7897,8950,794,.0887151
"State House District 93 (2014), Connecticut","CT",9,"9-093",6535,7087,399,.0563003
"State House District 95 (2014), Connecticut","CT",9,"9-095",5278,6008,616,.10253
"State House District 96 (2014), Connecticut","CT",9,"9-096",7854,10070,1895,.1881827
"State House District 97 (2014), Connecticut","CT",9,"9-097",5280,7434,1934,.260156
"State House District 98 (2014), Connecticut","CT",9,"9-098",8274,13885,5127,.3692474
"State House District 99 (2014), Connecticut","CT",9,"9-099",4533,10440,5604,.5367816
"State House District 100 (2014), Connecticut","CT",9,"9-100",6515,10889,3779,.3470475
"State House District 101 (2014), Connecticut","CT",9,"9-101",7188,13632,5828,.4275235
"State House District 102 (2014), Connecticut","CT",9,"9-102",6732,12399,5216,.4206791
"State House District 103 (2014), Connecticut","CT",9,"9-103",5460,11515,5537,.4808511
"State House District 104 (2014), Connecticut","CT",9,"9-104",4341,8998,4287,.4764392
"State House District 106 (2014), Connecticut","CT",9,"9-106",6300,12856,5955,.4632078
"State House District 108 (2014), Connecticut","CT",9,"9-108",5099,11820,6216,.5258883
"State House District 109 (2014), Connecticut","CT",9,"9-109",4656,8521,3544,.4159136
"State House District 110 (2014), Connecticut","CT",9,"9-110",4020,6054,1812,.2993062
"State House District 111 (2014), Connecticut","CT",9,"9-111",7593,13628,5410,.3969768
"State House District 112 (2014), Connecticut","CT",9,"9-112",5359,12735,6838,.5369454
"State House District 113 (2014), Connecticut","CT",9,"9-113",4479,11505,6541,.5685354
"State House District 115 (2014), Connecticut","CT",9,"9-115",5107,8886,3446,.387801
"State House District 116 (2014), Connecticut","CT",9,"9-116",5245,6985,1554,.2224767
"State House District 118 (2014), Connecticut","CT",9,"9-118",5831,11648,5293,.4544128
"State House District 119 (2014), Connecticut","CT",9,"9-119",6051,13113,6581,.5018684
"State House District 120 (2014), Connecticut","CT",9,"9-120",6141,12533,5873,.4686029
"State House District 121 (2014), Connecticut","CT",9,"9-121",6158,9659,3174,.3286054
"State House District 122 (2014), Connecticut","CT",9,"9-122",5443,13420,7551,.5626677
"State House District 123 (2014), Connecticut","CT",9,"9-123",6115,12902,6305,.4886839
"State House District 124 (2014), Connecticut","CT",9,"9-124",5875,6660,671,.1007508
"State House District 125 (2014), Connecticut","CT",9,"9-125",7020,12893,5186,.4022338
"State House District 126 (2014), Connecticut","CT",9,"9-126",7055,8598,1332,.1549197
"State House District 127 (2014), Connecticut","CT",9,"9-127",5219,7405,1993,.2691425
"State House District 128 (2014), Connecticut","CT",9,"9-128",3970,4468,427,.0955685
"State House District 129 (2014), Connecticut","CT",9,"9-129",5266,7096,1611,.2270293
"State House District 130 (2014), Connecticut","CT",9,"9-130",4650,5322,562,.1055994
"State House District 131 (2014), Connecticut","CT",9,"9-131",4414,12387,7467,.6028094
"State House District 132 (2014), Connecticut","CT",9,"9-132",7651,13505,5318,.3937801
"State House District 133 (2014), Connecticut","CT",9,"9-133",6714,11215,4024,.3588052
"State House District 134 (2014), Connecticut","CT",9,"9-134",6369,12555,5664,.451135
"State House District 137 (2014), Connecticut","CT",9,"9-137",7183,10800,3204,.2966667
"State House District 138 (2014), Connecticut","CT",9,"9-138",5681,11293,5138,.4549721
"State House District 139 (2014), Connecticut","CT",9,"9-139",4483,9689,4622,.4770358
"State House District 140 (2014), Connecticut","CT",9,"9-140",5551,7216,1440,.1995565
"State House District 141 (2014), Connecticut","CT",9,"9-141",7173,12797,4898,.382746
"State House District 142 (2014), Connecticut","CT",9,"9-142",7291,12807,5002,.3905677
"State House District 143 (2014), Connecticut","CT",9,"9-143",7714,13514,5183,.3835282
"State House District 145 (2014), Connecticut","CT",9,"9-145",5658,7056,1210,.1714853
"State House District 146 (2014), Connecticut","CT",9,"9-146",6984,9880,2546,.2576923
"State House District 148 (2014), Connecticut","CT",9,"9-148",5952,8642,2411,.2789863
"State House District 149 (2014), Connecticut","CT",9,"9-149",6959,12796,5338,.4171616
"State House District 150 (2014), Connecticut","CT",9,"9-150",6552,10673,3693,.3460133
"State House District 1 (2014), Florida","FL",12,"12-001",27209,79850,49858,.6243957
"State House District 2 (2014), Florida","FL",12,"12-002",32702,82063,45568,.5552807
"State House District 3 (2014), Florida","FL",12,"12-003",17915,91283,69385,.7601086
"State House District 4 (2014), Florida","FL",12,"12-004",21879,87867,61229,.6968372
"State House District 5 (2014), Florida","FL",12,"12-005",16955,78817,59908,.7600898
"State House District 6 (2014), Florida","FL",12,"12-006",21232,82978,58419,.70403
"State House District 7 (2014), Florida","FL",12,"12-007",20952,70923,48094,.6781157
"State House District 8 (2014), Florida","FL",12,"12-008",53740,72335,16151,.2232806
"State House District 9 (2014), Florida","FL",12,"12-009",51837,97837,41988,.4291628
"State House District 10 (2014), Florida","FL",12,"12-010",16771,68542,50136,.7314639
"State House District 11 (2014), Florida","FL",12,"12-011",27467,95534,64507,.6752256
"State House District 12 (2014), Florida","FL",12,"12-012",31030,77742,43460,.5590286
"State House District 13 (2014), Florida","FL",12,"12-013",42285,66012,21790,.3300915
"State House District 14 (2014), Florida","FL",12,"12-014",47684,73650,24300,.3299389
"State House District 15 (2014), Florida","FL",12,"12-015",33057,75392,39614,.5254403
"State House District 16 (2014), Florida","FL",12,"12-016",35049,90962,52267,.5746026
"State House District 17 (2014), Florida","FL",12,"12-017",36397,115361,74884,.6491275
"State House District 18 (2014), Florida","FL",12,"12-018",23234,85201,58937,.6917407
"State House District 19 (2014), Florida","FL",12,"12-019",18620,72191,51645,.7153939
