"","geography","stateabbrev","state","id2","clinton","total","trump","trump_percent"
"1","State House District 1 (2014), Alaska","AK","2","2-001",2579,6420,3181,0.4954829
"2","State House District 2 (2014), Alaska","AK","2","2-002",1589,5321,3189,0.5993235
"3","State House District 3 (2014), Alaska","AK","2","2-003",1244,7397,5404,0.7305664
"4","State House District 4 (2014), Alaska","AK","2","2-004",4172,9188,4071,0.4430779
"5","State House District 5 (2014), Alaska","AK","2","2-005",3195,7660,3684,0.48094
"6","State House District 6 (2014), Alaska","AK","2","2-006",2542,8230,4930,0.5990279
"7","State House District 8 (2014), Alaska","AK","2","2-008",1221,7928,6128,0.7729566
"8","State House District 9 (2014), Alaska","AK","2","2-009",1847,8736,6101,0.6983746
"9","State House District 10 (2014), Alaska","AK","2","2-010",1812,8827,6257,0.7088479
"10","State House District 11 (2014), Alaska","AK","2","2-011",2147,9403,6446,0.6855259
"11","State House District 13 (2014), Alaska","AK","2","2-013",1688,6344,4029,0.6350883
"12","State House District 15 (2014), Alaska","AK","2","2-015",1832,4854,2526,0.5203956
"13","State House District 16 (2014), Alaska","AK","2","2-016",3302,7221,3204,0.4437059
"14","State House District 17 (2014), Alaska","AK","2","2-017",3298,6586,2619,0.3976617
"15","State House District 18 (2014), Alaska","AK","2","2-018",3918,7226,2685,0.3715749
"16","State House District 19 (2014), Alaska","AK","2","2-019",2675,4708,1636,0.3474936
"17","State House District 20 (2014), Alaska","AK","2","2-020",4161,6950,2188,0.3148201
"18","State House District 21 (2014), Alaska","AK","2","2-021",4234,8446,3480,0.4120294
"19","State House District 22 (2014), Alaska","AK","2","2-022",3278,8136,4204,0.5167158
"20","State House District 23 (2014), Alaska","AK","2","2-023",2901,6780,3247,0.4789086
"21","State House District 24 (2014), Alaska","AK","2","2-024",3586,9067,4710,0.5194662
"22","State House District 25 (2014), Alaska","AK","2","2-025",3386,7943,3817,0.4805489
"23","State House District 27 (2014), Alaska","AK","2","2-027",3738,8556,4086,0.4775596
"24","State House District 28 (2014), Alaska","AK","2","2-028",4760,11114,5424,0.4880331
"25","State House District 32 (2014), Alaska","AK","2","2-032",2707,7291,3765,0.5163901
"26","State House District 33 (2014), Alaska","AK","2","2-033",5992,9675,2733,0.2824806
"27","State House District 34 (2014), Alaska","AK","2","2-034",4230,9170,3956,0.4314068
"28","State House District 35 (2014), Alaska","AK","2","2-035",3758,8803,4106,0.4664319
"29","State House District 36 (2014), Alaska","AK","2","2-036",2699,8066,4461,0.5530623
"30","State House District 37 (2014), Alaska","AK","2","2-037",2427,4912,1938,0.394544
"31","State House District 38 (2014), Alaska","AK","2","2-038",2765,4790,1143,0.2386221
"32","State House District 39 (2014), Alaska","AK","2","2-039",3149,5273,1405,0.2664517
"33","State House District 40 (2014), Alaska","AK","2","2-040",2344,4334,1377,0.3177204
"34","State House District 1 (2014), Arizona","AZ","4","4-001",33442,117154,78335,0.6686498
"35","State House District 2 (2014), Arizona","AZ","4","4-002",41010,69097,24965,0.3613037
"36","State House District 3 (2014), Arizona","AZ","4","4-003",44715,63663,15543,0.2441449
"37","State House District 4 (2014), Arizona","AZ","4","4-004",32028,56351,21521,0.3819098
"38","State House District 5 (2014), Arizona","AZ","4","4-005",18808,84679,62222,0.7347985
"39","State House District 6 (2014), Arizona","AZ","4","4-006",42179,101185,52696,0.5207887
"40","State House District 7 (2014), Arizona","AZ","4","4-007",42239,70645,24100,0.3411423
"41","State House District 8 (2014), Arizona","AZ","4","4-008",24939,62039,33862,0.545818
"42","State House District 9 (2014), Arizona","AZ","4","4-009",56889,100253,37956,0.3786021
"43","State House District 10 (2014), Arizona","AZ","4","4-010",51745,97804,40651,0.4156374
"44","State House District 11 (2014), Arizona","AZ","4","4-011",41718,102787,56007,0.5448841
"45","State House District 12 (2014), Arizona","AZ","4","4-012",38962,111940,66391,0.5930945
"46","State House District 13 (2014), Arizona","AZ","4","4-013",29389,86092,52600,0.6109743
"47","State House District 14 (2014), Arizona","AZ","4","4-014",29330,87242,52227,0.5986452
"48","State House District 15 (2014), Arizona","AZ","4","4-015",41360,105903,58948,0.5566226
"49","State House District 16 (2014), Arizona","AZ","4","4-016",29683,90102,55241,0.613094
"50","State House District 17 (2014), Arizona","AZ","4","4-017",45784,101605,49942,0.4915309
"51","State House District 18 (2014), Arizona","AZ","4","4-018",56517,108892,45204,0.4151269
"52","State House District 19 (2014), Arizona","AZ","4","4-019",34494,51162,13902,0.2717251
"53","State House District 20 (2014), Arizona","AZ","4","4-020",35917,84116,42658,0.507133
"54","State House District 21 (2014), Arizona","AZ","4","4-021",35376,88939,48880,0.5495902
"55","State House District 22 (2014), Arizona","AZ","4","4-022",39485,117100,72752,0.621281
"56","State House District 23 (2014), Arizona","AZ","4","4-023",52123,126429,68985,0.5456422
"57","State House District 24 (2014), Arizona","AZ","4","4-024",48111,73005,20189,0.2765427
"58","State House District 25 (2014), Arizona","AZ","4","4-025",32546,92746,54427,0.5868393
"59","State House District 26 (2014), Arizona","AZ","4","4-026",34124,57432,18325,0.319073
"60","State House District 27 (2014), Arizona","AZ","4","4-027",40514,54714,11273,0.206035
"61","State House District 28 (2014), Arizona","AZ","4","4-028",50540,101273,45168,0.4460024
"62","State House District 29 (2014), Arizona","AZ","4","4-029",29558,45449,13330,0.2932958
"63","State House District 30 (2014), Arizona","AZ","4","4-030",27642,44442,14101,0.3172899
"64","Assembly District 1 (2014), California","CA","6","6-001",78448,217358,123348,0.5674877
"65","Assembly District 2 (2014), California","CA","6","6-002",129765,208630,60457,0.2897809
"66","Assembly District 3 (2014), California","CA","6","6-003",70105,177623,94699,0.533146
"67","Assembly District 4 (2014), California","CA","6","6-004",123163,195392,58516,0.29948
"68","Assembly District 5 (2014), California","CA","6","6-005",74313,192958,105839,0.548508
"69","Assembly District 6 (2014), California","CA","6","6-006",98850,240087,124903,0.5202406
"70","Assembly District 7 (2014), California","CA","6","6-007",113064,167178,42943,0.2568699
"71","Assembly District 8 (2014), California","CA","6","6-008",97714,188757,77439,0.4102576
"72","Assembly District 9 (2014), California","CA","6","6-009",106100,172610,56775,0.3289207
"73","Assembly District 10 (2014), California","CA","6","6-010",179560,237347,42629,0.1796062
"74","Assembly District 11 (2014), California","CA","6","6-011",106659,181203,63724,0.3516719
"75","Assembly District 12 (2014), California","CA","6","6-012",74393,172569,88102,0.510532
"76","Assembly District 13 (2014), California","CA","6","6-013",85954,136500,43398,0.3179341
"77","Assembly District 14 (2014), California","CA","6","6-014",136210,195833,47918,0.2446881
"78","Assembly District 15 (2014), California","CA","6","6-015",200652,229603,16156,0.0703649
"79","Assembly District 16 (2014), California","CA","6","6-016",155538,241257,70523,0.2923148
"80","Assembly District 17 (2014), California","CA","6","6-017",205037,232678,16172,0.0695038
"81","Assembly District 18 (2014), California","CA","6","6-018",168004,195607,16503,0.0843681
"82","Assembly District 19 (2014), California","CA","6","6-019",174463,213730,28501,0.1333505
"83","Assembly District 20 (2014), California","CA","6","6-020",125695,166438,31825,0.1912123
"84","Assembly District 21 (2014), California","CA","6","6-021",69630,127464,50303,0.3946448
"85","Assembly District 22 (2014), California","CA","6","6-022",160498,213529,42176,0.1975188
"86","Assembly District 23 (2014), California","CA","6","6-023",80259,182605,92731,0.5078229
"87","Assembly District 24 (2014), California","CA","6","6-024",156218,199801,31835,0.1593335
"88","Assembly District 25 (2014), California","CA","6","6-025",118083,160427,33533,0.2090234
"89","Assembly District 26 (2014), California","CA","6","6-026",51358,123630,65435,0.5292809
"90","Assembly District 27 (2014), California","CA","6","6-027",113260,145659,25189,0.1729313
"91","Assembly District 28 (2014), California","CA","6","6-028",148579,210359,48553,0.2308102
"92","Assembly District 29 (2014), California","CA","6","6-029",157501,225011,51660,0.2295888
"93","Assembly District 30 (2014), California","CA","6","6-030",95014,142453,38914,0.2731708
"94","Assembly District 31 (2014), California","CA","6","6-031",62113,99979,32920,0.3292691
"95","Assembly District 32 (2014), California","CA","6","6-032",47156,83458,31696,0.3797838
"96","Assembly District 33 (2014), California","CA","6","6-033",59581,148883,81306,0.5461067
"97","Assembly District 34 (2014), California","CA","6","6-034",59080,173390,104394,0.6020762
"98","Assembly District 35 (2014), California","CA","6","6-035",95942,193550,84067,0.4343425
"99","Assembly District 36 (2014), California","CA","6","6-036",76812,153805,67458,0.4385943
"100","Assembly District 37 (2014), California","CA","6","6-037",141108,219560,64125,0.2920614
"101","Assembly District 38 (2014), California","CA","6","6-038",102575,206641,91733,0.4439245
"102","Assembly District 39 (2014), California","CA","6","6-039",105717,141644,28039,0.197954
"103","Assembly District 40 (2014), California","CA","6","6-040",85358,157829,63146,0.4000912
"104","Assembly District 41 (2014), California","CA","6","6-041",134013,213339,66718,0.3127323
"105","Assembly District 42 (2014), California","CA","6","6-042",81326,178325,88624,0.4969802
"106","Assembly District 43 (2014), California","CA","6","6-043",128801,186829,47555,0.2545376
"107","Assembly District 44 (2014), California","CA","6","6-044",107071,187439,69329,0.369875
"108","Assembly District 45 (2014), California","CA","6","6-045",124853,185362,50768,0.2738857
"109","Assembly District 46 (2014), California","CA","6","6-046",125101,164170,30346,0.184845
"110","Assembly District 47 (2014), California","CA","6","6-047",87195,124385,30842,0.2479559
"111","Assembly District 48 (2014), California","CA","6","6-048",96892,147695,42089,0.2849724
"112","Assembly District 49 (2014), California","CA","6","6-049",87649,129708,35237,0.2716641
"113","Assembly District 50 (2014), California","CA","6","6-050",181050,235983,43262,0.1833268
"114","Assembly District 51 (2014), California","CA","6","6-051",121295,144315,14707,0.101909
"115","Assembly District 52 (2014), California","CA","6","6-052",84559,128539,36904,0.2871035
"116","Assembly District 53 (2014), California","CA","6","6-053",87768,103458,9961,0.0962806
"117","Assembly District 54 (2014), California","CA","6","6-054",172363,202431,20480,0.1011703
"118","Assembly District 55 (2014), California","CA","6","6-055",91567,183417,81831,0.4461473
"119","Assembly District 56 (2014), California","CA","6","6-056",79482,123782,38674,0.3124364
"120","Assembly District 57 (2014), California","CA","6","6-057",105951,160723,45625,0.2838735
"121","Assembly District 58 (2014), California","CA","6","6-058",110922,152908,34043,0.2226371
"122","Assembly District 59 (2014), California","CA","6","6-059",92086,101526,5172,0.0509426
"123","Assembly District 60 (2014), California","CA","6","6-060",77160,147025,61711,0.4197313
"124","Assembly District 61 (2014), California","CA","6","6-061",89375,143065,45235,0.3161849
"125","Assembly District 62 (2014), California","CA","6","6-062",145289,177069,23125,0.1305988
"126","Assembly District 63 (2014), California","CA","6","6-063",98320,127105,22089,0.1737854
"127","Assembly District 64 (2014), California","CA","6","6-064",112897,130950,12586,0.096113
"128","Assembly District 65 (2014), California","CA","6","6-065",87128,153596,57257,0.3727766
"129","Assembly District 66 (2014), California","CA","6","6-066",122987,205070,68907,0.336017
"130","Assembly District 67 (2014), California","CA","6","6-067",69995,179998,100696,0.5594285
"131","Assembly District 68 (2014), California","CA","6","6-068",99563,201461,89803,0.4457587
"132","Assembly District 69 (2014), California","CA","6","6-069",77611,107881,24089,0.2232923
"133","Assembly District 70 (2014), California","CA","6","6-070",119668,175638,44070,0.2509138
"134","Assembly District 71 (2014), California","CA","6","6-071",73868,193430,108823,0.5625963
"135","Assembly District 72 (2014), California","CA","6","6-072",92904,180757,77967,0.431336
"136","Assembly District 73 (2014), California","CA","6","6-073",99330,226316,114018,0.5038
"137","Assembly District 74 (2014), California","CA","6","6-074",110941,218781,94705,0.4328758
"138","Assembly District 75 (2014), California","CA","6","6-075",81719,189090,95829,0.5067904
"139","Assembly District 76 (2014), California","CA","6","6-076",104680,197103,79599,0.4038447
"140","Assembly District 77 (2014), California","CA","6","6-077",122393,221875,86389,0.3893589
"141","Assembly District 78 (2014), California","CA","6","6-078",151066,223859,57874,0.2585288
"142","Assembly District 79 (2014), California","CA","6","6-079",119355,185793,55814,0.3004096
"143","Assembly District 80 (2014), California","CA","6","6-080",106767,145961,31151,0.21342
"144","State House District 1 (2014), Colorado","CO","8","8-001",18855,31519,10175,0.3228212
"145","State House District 2 (2014), Colorado","CO","8","8-002",40149,53378,8711,0.1631946
"146","State House District 3 (2014), Colorado","CO","8","8-003",23438,43481,16157,0.3715876
"147","State House District 4 (2014), Colorado","CO","8","8-004",28301,36832,5745,0.1559785
"148","State House District 5 (2014), Colorado","CO","8","8-005",28307,37831,6420,0.1697021
"149","State House District 6 (2014), Colorado","CO","8","8-006",33306,47347,10992,0.2321583
"150","State House District 7 (2014), Colorado","CO","8","8-007",29099,36458,5339,0.1464425
"151","State House District 8 (2014), Colorado","CO","8","8-008",41198,49284,4710,0.0955685
"152","State House District 9 (2014), Colorado","CO","8","8-009",27989,43178,11590,0.2684237
"153","State House District 10 (2014), Colorado","CO","8","8-010",39206,48629,6063,0.1246787
"154","State House District 11 (2014), Colorado","CO","8","8-011",26168,44922,14823,0.3299719
"155","State House District 12 (2014), Colorado","CO","8","8-012",32626,49061,12519,0.2551721
"156","State House District 13 (2014), Colorado","CO","8","8-013",33849,50813,13206,0.2598941
"157","State House District 14 (2014), Colorado","CO","8","8-014",13298,46800,28556,0.610171
"158","State House District 15 (2014), Colorado","CO","8","8-015",12119,40085,23757,0.5926656
"159","State House District 16 (2014), Colorado","CO","8","8-016",13997,41186,22865,0.5551644
"160","State House District 17 (2014), Colorado","CO","8","8-017",11087,24064,10442,0.4339262
"161","State House District 18 (2014), Colorado","CO","8","8-018",21268,41897,16343,0.3900757
"162","State House District 19 (2014), Colorado","CO","8","8-019",11168,53174,37564,0.7064355
"163","State House District 20 (2014), Colorado","CO","8","8-020",15792,43704,23892,0.5466776
"164","State House District 21 (2014), Colorado","CO","8","8-021",9281,28057,15809,0.5634601
"165","State House District 22 (2014), Colorado","CO","8","8-022",20083,48476,24158,0.4983497
"166","State House District 23 (2014), Colorado","CO","8","8-023",24092,45139,16861,0.3735351
"167","State House District 24 (2014), Colorado","CO","8","8-024",24987,45535,16368,0.3594598
"168","State House District 25 (2014), Colorado","CO","8","8-025",24649,52955,23706,0.4476631
"169","State House District 26 (2014), Colorado","CO","8","8-026",21699,39209,14220,0.3626718
"170","State House District 27 (2014), Colorado","CO","8","8-027",23874,52381,23836,0.4550505
"171","State House District 28 (2014), Colorado","CO","8","8-028",22258,42089,16050,0.3813348
"172","State House District 29 (2014), Colorado","CO","8","8-029",20738,42123,17124,0.4065238
"173","State House District 30 (2014), Colorado","CO","8","8-030",16129,31635,12871,0.4068595
"174","State House District 31 (2014), Colorado","CO","8","8-031",17490,35353,14586,0.4125817
"175","State House District 32 (2014), Colorado","CO","8","8-032",15845,26632,8523,0.3200285
"176","State House District 33 (2014), Colorado","CO","8","8-033",28108,51297,18416,0.3590074
"177","State House District 35 (2014), Colorado","CO","8","8-035",20584,38754,14719,0.379806
"178","State House District 36 (2014), Colorado","CO","8","8-036",19714,36792,13830,0.3758969
"179","State House District 37 (2014), Colorado","CO","8","8-037",22093,45386,19333,0.4259683
"180","State House District 38 (2014), Colorado","CO","8","8-038",25010,53263,23351,0.4384094
"181","State House District 39 (2014), Colorado","CO","8","8-039",15791,50349,30725,0.6102405
"182","State House District 40 (2014), Colorado","CO","8","8-040",20764,39133,14630,0.3738533
"183","State House District 41 (2014), Colorado","CO","8","8-041",22449,36855,11580,0.3142043
"184","State House District 42 (2014), Colorado","CO","8","8-042",16360,24422,6182,0.2531324
"185","State House District 43 (2014), Colorado","CO","8","8-043",20135,47445,23177,0.4885025
"186","State House District 44 (2014), Colorado","CO","8","8-044",18544,49904,26789,0.5368107
"187","State House District 45 (2014), Colorado","CO","8","8-045",17790,54245,31627,0.5830399
"188","State House District 46 (2014), Colorado","CO","8","8-046",18932,41357,19046,0.4605266
"189","State House District 47 (2014), Colorado","CO","8","8-047",14670,38628,20931,0.5418608
"190","State House District 48 (2014), Colorado","CO","8","8-048",14524,47856,29282,0.6118773
"191","State House District 49 (2014), Colorado","CO","8","8-049",21968,60125,32955,0.5481081
"192","State House District 50 (2014), Colorado","CO","8","8-050",12847,28044,12259,0.4371345
"193","State House District 51 (2014), Colorado","CO","8","8-051",18333,49779,26622,0.5348038
"194","State House District 52 (2014), Colorado","CO","8","8-052",28478,51126,17425,0.3408246
"195","State House District 53 (2014), Colorado","CO","8","8-053",27841,47163,13956,0.2959099
"196","State House District 54 (2014), Colorado","CO","8","8-054",9342,41170,28859,0.7009716
"197","State House District 55 (2014), Colorado","CO","8","8-055",13491,41746,24738,0.5925837
"198","State House District 56 (2014), Colorado","CO","8","8-056",17793,48920,27389,0.5598733
"199","State House District 57 (2014), Colorado","CO","8","8-057",12581,36445,21228,0.5824667
"200","State House District 59 (2014), Colorado","CO","8","8-059",22242,47306,20566,0.434744
"201","State House District 60 (2014), Colorado","CO","8","8-060",13729,43296,26162,0.6042591
"202","State House District 61 (2014), Colorado","CO","8","8-061",24559,46423,18236,0.3928225
"203","State House District 62 (2014), Colorado","CO","8","8-062",17263,36136,15770,0.4364069
"204","State House District 63 (2014), Colorado","CO","8","8-063",15641,47315,27582,0.5829441
"205","State House District 64 (2014), Colorado","CO","8","8-064",8978,39418,27885,0.7074179
"206","State House District 65 (2014), Colorado","CO","8","8-065",7099,34973,25975,0.7427158
"207","State House District 1 (2014), Connecticut","CT","9","9-001",6076,6788,510,0.0751326
"208","State House District 2 (2014), Connecticut","CT","9","9-002",6129,12113,5416,0.4471229
"209","State House District 3 (2014), Connecticut","CT","9","9-003",4956,5474,409,0.0747168
"210","State House District 4 (2014), Connecticut","CT","9","9-004",4741,5384,498,0.0924963
"211","State House District 5 (2014), Connecticut","CT","9","9-005",8303,9803,1242,0.1266959
"212","State House District 6 (2014), Connecticut","CT","9","9-006",5693,6634,788,0.118782
"213","State House District 7 (2014), Connecticut","CT","9","9-007",6395,6768,253,0.0373818
"214","State House District 8 (2014), Connecticut","CT","9","9-008",6346,13645,6456,0.4731404
"215","State House District 9 (2014), Connecticut","CT","9","9-009",6592,10517,3467,0.3296567
"216","State House District 10 (2014), Connecticut","CT","9","9-010",6254,8962,2434,0.2715912
"217","State House District 11 (2014), Connecticut","CT","9","9-011",5383,7841,2132,0.2719041
"218","State House District 12 (2014), Connecticut","CT","9","9-012",6667,10854,3617,0.3332412
"219","State House District 13 (2014), Connecticut","CT","9","9-013",7065,11922,4220,0.3539675
"220","State House District 14 (2014), Connecticut","CT","9","9-014",7269,13058,5169,0.3958493
"221","State House District 15 (2014), Connecticut","CT","9","9-015",10642,13092,2096,0.1600978
"222","State House District 16 (2014), Connecticut","CT","9","9-016",7825,13941,5357,0.3842622
"223","State House District 17 (2014), Connecticut","CT","9","9-017",7115,13643,5864,0.4298175
"224","State House District 19 (2014), Connecticut","CT","9","9-019",9590,14487,4257,0.2938496
"225","State House District 20 (2014), Connecticut","CT","9","9-020",7472,10755,2830,0.2631334
"226","State House District 22 (2014), Connecticut","CT","9","9-022",5318,10797,5009,0.4639252
"227","State House District 23 (2014), Connecticut","CT","9","9-023",7433,14171,6166,0.435114
"228","State House District 24 (2014), Connecticut","CT","9","9-024",5586,8810,2895,0.3286039
"229","State House District 25 (2014), Connecticut","CT","9","9-025",4740,6013,1109,0.1844337
"230","State House District 26 (2014), Connecticut","CT","9","9-026",4574,7223,2348,0.3250727
"231","State House District 27 (2014), Connecticut","CT","9","9-027",6914,12647,5173,0.4090298
"232","State House District 28 (2014), Connecticut","CT","9","9-028",6941,13242,5720,0.4319589
"233","State House District 29 (2014), Connecticut","CT","9","9-029",6446,11950,4975,0.416318
"234","State House District 30 (2014), Connecticut","CT","9","9-030",5807,13718,7342,0.5352092
"235","State House District 32 (2014), Connecticut","CT","9","9-032",6302,12947,5977,0.4616514
"236","State House District 33 (2014), Connecticut","CT","9","9-033",6444,10320,3347,0.3243217
"237","State House District 34 (2014), Connecticut","CT","9","9-034",5869,12980,6458,0.4975347
"238","State House District 35 (2014), Connecticut","CT","9","9-035",6378,13411,6478,0.4830363
"239","State House District 36 (2014), Connecticut","CT","9","9-036",7209,13926,6034,0.4332902
"240","State House District 38 (2014), Connecticut","CT","9","9-038",6175,12818,5952,0.464347
"241","State House District 39 (2014), Connecticut","CT","9","9-039",4958,6621,1323,0.1998188
"242","State House District 40 (2014), Connecticut","CT","9","9-040",3990,7913,3340,0.4220902
"243","State House District 41 (2014), Connecticut","CT","9","9-041",6401,10693,3749,0.3506032
"244","State House District 42 (2014), Connecticut","CT","9","9-042",4586,10585,5358,0.506188
"245","State House District 46 (2014), Connecticut","CT","9","9-046",4291,7350,2615,0.3557823
"246","State House District 47 (2014), Connecticut","CT","9","9-047",4895,12654,6925,0.5472578
"247","State House District 48 (2014), Connecticut","CT","9","9-048",5996,12541,5764,0.4596125
"248","State House District 49 (2014), Connecticut","CT","9","9-049",5072,7946,2443,0.3074503
"249","State House District 52 (2014), Connecticut","CT","9","9-052",4411,11716,6694,0.5713554
"250","State House District 53 (2014), Connecticut","CT","9","9-053",6176,13010,5957,0.4578786
"251","State House District 55 (2014), Connecticut","CT","9","9-055",6595,13995,6648,0.4750268
"252","State House District 56 (2014), Connecticut","CT","9","9-056",5749,10723,4338,0.404551
"253","State House District 60 (2014), Connecticut","CT","9","9-060",6527,11997,4861,0.4051846
"254","State House District 61 (2014), Connecticut","CT","9","9-061",5561,11975,5752,0.480334
"255","State House District 62 (2014), Connecticut","CT","9","9-062",6022,14033,7171,0.5110098
"256","State House District 63 (2014), Connecticut","CT","9","9-063",4021,11196,6630,0.5921758
"257","State House District 65 (2014), Connecticut","CT","9","9-065",3400,8520,4674,0.5485916
"258","State House District 66 (2014), Connecticut","CT","9","9-066",5869,13915,7419,0.5331656
"259","State House District 67 (2014), Connecticut","CT","9","9-067",5102,11371,5744,0.5051447
"260","State House District 68 (2014), Connecticut","CT","9","9-068",3967,12487,8079,0.6469929
"261","State House District 69 (2014), Connecticut","CT","9","9-069",6777,14363,7023,0.4889647
"262","State House District 70 (2014), Connecticut","CT","9","9-070",3964,9997,5552,0.5553666
"263","State House District 71 (2014), Connecticut","CT","9","9-071",4266,10307,5662,0.5493354
"264","State House District 72 (2014), Connecticut","CT","9","9-072",4457,6258,1648,0.2633429
"265","State House District 73 (2014), Connecticut","CT","9","9-073",4641,8637,3723,0.4310524
"266","State House District 74 (2014), Connecticut","CT","9","9-074",4508,8144,3356,0.4120825
"267","State House District 75 (2014), Connecticut","CT","9","9-075",3662,4851,1078,0.2222222
"268","State House District 76 (2014), Connecticut","CT","9","9-076",4831,13525,8027,0.5934935
"269","State House District 77 (2014), Connecticut","CT","9","9-077",5341,11297,5464,0.4836682
"270","State House District 78 (2014), Connecticut","CT","9","9-078",4266,11501,6835,0.5942962
"271","State House District 79 (2014), Connecticut","CT","9","9-079",4776,9429,4220,0.4475554
"272","State House District 80 (2014), Connecticut","CT","9","9-080",4011,12668,8210,0.6480896
"273","State House District 81 (2014), Connecticut","CT","9","9-081",5277,12102,6258,0.5171046
"274","State House District 82 (2014), Connecticut","CT","9","9-082",5741,11127,4857,0.4365058
"275","State House District 83 (2014), Connecticut","CT","9","9-083",5349,11074,5290,0.4776955
"276","State House District 84 (2014), Connecticut","CT","9","9-084",4204,6144,1682,0.273763
"277","State House District 85 (2014), Connecticut","CT","9","9-085",5368,10847,4984,0.4594819
"278","State House District 87 (2014), Connecticut","CT","9","9-087",5837,13574,7268,0.5354354
"279","State House District 90 (2014), Connecticut","CT","9","9-090",5578,12418,6261,0.5041875
"280","State House District 91 (2014), Connecticut","CT","9","9-091",8597,12497,3500,0.2800672
"281","State House District 92 (2014), Connecticut","CT","9","9-092",7897,8950,794,0.0887151
"282","State House District 93 (2014), Connecticut","CT","9","9-093",6535,7087,399,0.0563003
"283","State House District 95 (2014), Connecticut","CT","9","9-095",5278,6008,616,0.10253
"284","State House District 96 (2014), Connecticut","CT","9","9-096",7854,10070,1895,0.1881827
"285","State House District 97 (2014), Connecticut","CT","9","9-097",5280,7434,1934,0.260156
"286","State House District 98 (2014), Connecticut","CT","9","9-098",8274,13885,5127,0.3692474
"287","State House District 99 (2014), Connecticut","CT","9","9-099",4533,10440,5604,0.5367816
"288","State House District 100 (2014), Connecticut","CT","9","9-100",6515,10889,3779,0.3470475
"289","State House District 101 (2014), Connecticut","CT","9","9-101",7188,13632,5828,0.4275235
"290","State House District 102 (2014), Connecticut","CT","9","9-102",6732,12399,5216,0.4206791
"291","State House District 103 (2014), Connecticut","CT","9","9-103",5460,11515,5537,0.4808511
"292","State House District 104 (2014), Connecticut","CT","9","9-104",4341,8998,4287,0.4764392
"293","State House District 106 (2014), Connecticut","CT","9","9-106",6300,12856,5955,0.4632078
"294","State House District 108 (2014), Connecticut","CT","9","9-108",5099,11820,6216,0.5258883
"295","State House District 109 (2014), Connecticut","CT","9","9-109",4656,8521,3544,0.4159136
"296","State House District 110 (2014), Connecticut","CT","9","9-110",4020,6054,1812,0.2993062
"297","State House District 111 (2014), Connecticut","CT","9","9-111",7593,13628,5410,0.3969768
"298","State House District 112 (2014), Connecticut","CT","9","9-112",5359,12735,6838,0.5369454
"299","State House District 113 (2014), Connecticut","CT","9","9-113",4479,11505,6541,0.5685354
"300","State House District 115 (2014), Connecticut","CT","9","9-115",5107,8886,3446,0.387801
"301","State House District 116 (2014), Connecticut","CT","9","9-116",5245,6985,1554,0.2224767
"302","State House District 118 (2014), Connecticut","CT","9","9-118",5831,11648,5293,0.4544128
"303","State House District 119 (2014), Connecticut","CT","9","9-119",6051,13113,6581,0.5018684
"304","State House District 120 (2014), Connecticut","CT","9","9-120",6141,12533,5873,0.4686029
"305","State House District 121 (2014), Connecticut","CT","9","9-121",6158,9659,3174,0.3286054
"306","State House District 122 (2014), Connecticut","CT","9","9-122",5443,13420,7551,0.5626677
"307","State House District 123 (2014), Connecticut","CT","9","9-123",6115,12902,6305,0.4886839
"308","State House District 124 (2014), Connecticut","CT","9","9-124",5875,6660,671,0.1007508
"309","State House District 125 (2014), Connecticut","CT","9","9-125",7020,12893,5186,0.4022338
"310","State House District 126 (2014), Connecticut","CT","9","9-126",7055,8598,1332,0.1549197
"311","State House District 127 (2014), Connecticut","CT","9","9-127",5219,7405,1993,0.2691425
"312","State House District 128 (2014), Connecticut","CT","9","9-128",3970,4468,427,0.0955685
"313","State House District 129 (2014), Connecticut","CT","9","9-129",5266,7096,1611,0.2270293
"314","State House District 130 (2014), Connecticut","CT","9","9-130",4650,5322,562,0.1055994
"315","State House District 131 (2014), Connecticut","CT","9","9-131",4414,12387,7467,0.6028094
"316","State House District 132 (2014), Connecticut","CT","9","9-132",7651,13505,5318,0.3937801
"317","State House District 133 (2014), Connecticut","CT","9","9-133",6714,11215,4024,0.3588052
"318","State House District 134 (2014), Connecticut","CT","9","9-134",6369,12555,5664,0.451135
"319","State House District 137 (2014), Connecticut","CT","9","9-137",7183,10800,3204,0.2966667
"320","State House District 138 (2014), Connecticut","CT","9","9-138",5681,11293,5138,0.4549721
"321","State House District 139 (2014), Connecticut","CT","9","9-139",4483,9689,4622,0.4770358
"322","State House District 140 (2014), Connecticut","CT","9","9-140",5551,7216,1440,0.1995565
"323","State House District 141 (2014), Connecticut","CT","9","9-141",7173,12797,4898,0.382746
"324","State House District 142 (2014), Connecticut","CT","9","9-142",7291,12807,5002,0.3905677
"325","State House District 143 (2014), Connecticut","CT","9","9-143",7714,13514,5183,0.3835282
"326","State House District 145 (2014), Connecticut","CT","9","9-145",5658,7056,1210,0.1714853
"327","State House District 146 (2014), Connecticut","CT","9","9-146",6984,9880,2546,0.2576923
"328","State House District 148 (2014), Connecticut","CT","9","9-148",5952,8642,2411,0.2789863
"329","State House District 149 (2014), Connecticut","CT","9","9-149",6959,12796,5338,0.4171616
"330","State House District 150 (2014), Connecticut","CT","9","9-150",6552,10673,3693,0.3460133
"331","State House District 1 (2014), Florida","FL","12","12-001",27209,79850,49858,0.6243957
